points	power	might	wr
1	300	80	160
2	304	81	162
3	308	82	164		
4	312	83	166
5	317	84	169
6	321	85	171
7	326	87	174
8	330	88	176
9	335	89	178
10	339	90	181
11	344	91	183
12	349	93	186
13	354	94	189
14	359	95	191
15	364	97	194
16	369	98	197
17	374	99	199
18	380	101	202
19	385	102	205
20	390	104	208
21	396	105	211
22	401	107	214
23	407	108	217
24	413	110	220
25	418	111	223
26	424	113	226
27	430	114	229
28	436	116	232
29	442	118	236
30	449	119	239		
31	455	121	242
32	461	123	246
33	468	124	249
34	474	126	253
35	481	128	256
36	488	130	260
37	495	132	264
38	501	133	267
39	508	135	271
40	516	137	275
41	523	139	279
42	530	141	283
43	537	143	286
44	545	145	291
45	553	147	295
46	560	149	299
47	568	151	303
48	576	153	307
49	584	155	311
50	592	158	316
51	601	160	320
52	609	162	325
53	618	164	329
54	626	167	334
55	635	169	339
56	644	171	343
57	653	174	348
58	662	176	353
59	672	179	358
60	681	181	363
61	690	184	368
62	700	186	373
63	710	189	378
64	720	192	384
65	730	194	389
66	740	197	395
67	750	200	400
68	761	203	406
69	772	205	411
70	783	208	417
71	793	211	423
72	804	214	429
73	816	217	435
74	827	220	441
75	839	223	447
76	851	227	454
77	863	230	460
78	875	233	466
79	887	236	473
80	899	239	479
81	912	243	486
82	925	246	493
83	938	250	500
84	951	253	507
85	964	257	514
86	978	260	521
87	991	264	529
88	1005	268	536
89	1019	271	543
90	1033	275	551
91	1048	279	559
92	1063	283	567
93	1077	287	575
94	1093	291	583
95	1108	295	591
96	1123	299	599
97	1139	303	607
98	1155	308	616
99	1171	312	625
100	1188	316	633
101	1204	321	642
102	1221	325	651
103	1238	330	660
104	1256	335	670
105	1273	339	679
106	1291	344	688
107	1309	349	698
108	1328	354	708
109	1346	359	718
110	1365	364	728
111	1384	369	738
112	1404	374	748
113	1423	379	759
114	1443	384	769
115	1463	390	780
116	1484	395	791
117	1505	401	802
118	1526	406	813
119	1547	412	825
120	1569	418	836
121	1590	424	848
122	1613	430	860
123	1635	436	872
124	1658	442	884
125	1682	448	897
126	1705	454	909
127	1729	461	922
128	1753	467	935
129	1778	474	948
130	1803	480	961
131	1828	487	975
132	1854	494	988
133	1879	501	1002
134	1906	508	1016
135	1932	515	1030
136	1959	522	1045
137	1987	530	1060
138	2015	537	1074
139	2043	544	1089
140	2072	552	1105
141	2100	560	1120
142	2130	568	1136
143	2160	576	1152
144	2190	584	1168
145	2221	592	1184
146	2252	600	1201
147	2283	609	1218
148	2315	617	1235
149	2348	626	1252
150	2381	635	1270
151	2414	643	1287
152	2448	652	1305
153	2482	662	1324
154	2517	671	1342
155	2552	680	1361
156	2588	690	1380
157	2624	699	1399
158	2661	709	1419
159	2698	719	1439
160	2736	729	1459
161	2774	739	1479
162	2813	750	1500
163	2852	760	1521
164	2892	771	1542
165	2933	782	1564
166	2974	793	1586
167	3015	804	1608
168	3058	815	1631
169	3101	826	1653
170	3144	838	1677
171	3188	850	1700
172	3233	862	1724
173	3278	874	1748
174	3324	886	1773
175	3370	898	1797
176	3417	911	1822
177	3465	924	1848
178	3514	937	1874
179	3563	950	1900
180	3613	963	1927
181	3663	977	1954
182	3715	990	1981
183	3767	1004	2009
184	3819	1018	2037
185	3873	1032	2065
186	3927	1047	2094
187	3982	1062	2124
188	4038	1076	2153
189	4095	1092	2184
190	4152	1107	2214
191	4210	1122	2245
192	4269	1138	2277
193	4329	1154	2309
194	4389	1170	2341
195	4451	1187	2374
196	4513	1203	2407
197	4576	1220	2441
198	4641	1237	2475
199	4705	1254	2509
200	4771	1272	2545
201	4838	1290	2580
202	4906	1308	2616
203	4974	1326	2653
204	5044	1345	2690
205	5115	1364	2728
206	5186	1383	2766
207	5259	1402	2805
208	5333	1422	2844
209	5407	1442	2884
210	5483	1462	2924
211	5560	1482	2965
212	5638	1503	3007
213	5717	1524	3049
214	5796	1545	3091
215	5878	1567	3135
216	5960	1589	3179
217	6043	1611	3223
218	6128	1634	3268
219	6214	1657	3314
220	6301	1680	3360
221	6389	1703	3407
222	6479	1727	3455
223	6569	1751	3503
224	6661	1776	3553
225	6755	1801	3602
226	6849	1826	3653
227	6945	1852	3704
228	7042	1878	3756
229	7141	1904	3808
230	7241	1931	3862
231	7342	1958	3916
232	7445	1985	3970
233	7549	2013	4026
234	7655	2041	4082
235	7762	2070	4140
236	7871	2099	4198
237	7981	2128	4256
238	8093	2158	4316
239	8206	2188	4376
240	8321	2219	4438
241	8437	2250	4500
242	8556	2281	4563
243	8675	2313	4627
244	8797	2345	4691
245	8920	2378	4757
246	9045	2412	4824
247	9171	2445	4891
248	9300	2480	4960
249	9430	2514	5029
250	9562	2550	5100
251	9696	2585	5171
252	9832	2621	5243
253	9969	2658	5317
254	10109	2695	5391
255	10251	2733	5467
256	10394	2771	5543
257	10539	2810	5621
258	10687	2850	5700
259	10837	2889	5779
260	10988	2930	5860
261	11142	2971	5942
262	11298	3013	6026
263	11457	3055	6110
264	11617	3097	6195
265	11779	3141	6282
266	11944	3185	6370
267	12111	3229	6459
268	12281	3275	6550
269	12453	3320	6641
270	12627	3367	6734
271	12804	3414	6829
272	12984	3462	6924
273	13165	3510	7021
274	13350	3560	7120
275	13536	3609	7219
276	13726	3660	7320
277	13918	3711	7423
278	14113	3763	7527
279	14311	3816	7632
280	14511	3869	7739
281	14714	3923	7847
282	14920	3978	7957
283	15129	4034	8069
284	15341	4091	8182
285	15556	4148	8296
286	15744	4206	8412
287	15994	4265	8530
288	16218	4325	8650
289	16445	4385	8771
290	16675	4446	8893
291	16909	4509	9018
292	17146	4572	9144
293	17386	4636	9272
294	17629	4701	9402
295	17876	4767	9534
296	18126	4833	9667
297	18380	4901	9803
298	18637	4970	9940
299	18898	5039	10079
300	19163	5110	10220
301	19431	5181	10363
302	19703	5254	10508
303	19979	5327	10655
304	20259	5402	10804
305	20542	5478	10956
306	20830	5554	11109
307	21122	5632	11265
308	21417	5711	11422
309	21717	5791	11582
310	22021	5872	11744
311	22329	5954	11909
312	22642	6038	12076
313	22959	6122	12245
314	23280	6208	12416
315	23607	6295	12590
316	23937	6383	12766
317	24272	6472	12945
318	24612	6563	13126
319	24957	6655	13310
320	25306	6748	13496
321	25660	6842	13685
322	26019	6938	13877
323	26384	7035	14071
324	26753	7134	14268
325	27128	7234	14468
326	27507	7335	14670
327	27893	7438	14876
328	28283	7542	15084
329	28679	7647	15295
330	29080	7754	15509
331	29488	7863	15727
332	29901	7973	15947
333	30319	8085	16170
334	30744	8198	16396
335	31174	8313	16626
336	31611	8429	16859
337	32053	8547	17095
338	32502	8667	17334
339	32957	8788	17577
340	33418	8911	17823
341	33886	9036	18072
342	34360	9162	18325
343	34842	9291	18582
344	35329	9421	18842
345	35824	9553	19106
346	36325	9686	19373
347	36834	9822	19645
348	37350	9960	19920
349	37872	10099	20199
350	38403	10240	20481
351	38940	10384	20768
352	39486	10529	21059
353	40038	10677	21354
354	40599	10826	21653
355	41167	10978	21956
