"anames"	"lowers"	"uppers"
"1"	"Flak Cannon2"	0.999835779013946	3.00229393933818
"2"	"Flak Cannon1"	35.9680420453149	39.9871055968536
"3"	"Restore1"	384.42991948252	384.42991948252
"4"	"Phantom Slash1"	6.12040640965658	6.76434211242918
"5"	"Recovery2"	0.0114188706116758	0.0531627381535123
"6"	"Recovery1"	0.0585241707136193	0.0835553685697946
"7"	"Laser Net Launcher2"	0.996962263212436	3.00135689278344
"8"	"Laser Net Launcher1"	48.9831424924325	55.0563940814242
"9"	"Chain Grenade Launcher2"	0.996000134416799	3.00231902157907
"10"	"Chain Grenade Launcher1"	14.0133547336802	15.9984364329335
"11"	"Shrapnel Grenade Launcher2"	0.210730128872742	3.00399884077218
"12"	"Shrapnel Grenade Launcher1"	22.0255612934757	24.0182554623806
"13"	"Whirling Dervish1"	26.9962769498423	29.9959782850687
"14"	"Dash Combo1"	26.0114599202945	29.0120707476459
"15"	"Vortex Trap1"	33.9900542351423	38.004088069428
"16"	"Chain Gun1"	22.9997403987321	26.0004788917083
"17"	"Railguns1"	27.9961471824352	30.0024429292881
"18"	"Particle Gun1"	17.9971121190739	18.9995388222103
"19"	"Smoke Grenade Launcher1"	41.1620414869587	45.0156572493083
"20"	"Freezing Breath1"	44.9948614242095	49.005822853814
"21"	"Multi-Net Launcher1"	33.9923188286035	36.9914800855069
"22"	"Net Retractor1"	45.0980114848628	49.0160493952152
"23"	"'Splosion1"	76.9474284771802	83.9899405656687
"24"	"Rocket Launcher1"	19.0003281467826	20.9954333201695
"25"	"50 Cal1"	73.9310397030741	80.9442689970158
"26"	"Five-Barrel Minigun1"	19.99620608142	22.0004965251511
"27"	"Mini-Nuke1"	66.9743999844525	74.0364002775875
"28"	"Multi-Net Retractor1"	32.9868796032625	36.0278978169404
