"anames"	"lowers"	"uppers"
"1"	"Phantom Slash2"	5.62084942204321	5.8411485857309
"2"	"Phantom Slash1"	5.78961661761682	6.33070228281466
"3"	"Soul Well2"	5.53066847784357	6.36548636129166
"4"	"Soul Well1"	NA	NA
"5"	"Grapple Line Attack1"	55.9574834372659	61.9796005431564
"6"	"Throwing Knives1"	53.9870333529664	59.0277259180211
"7"	"Zip Tie Attack1"	59.0583979664432	64.9595026755509
"8"	"Restore1"	401.113245107168	401.113245107168
"9"	"Backflip Attack1"	61.9590385263227	69.0250512983757
"10"	"Forward Flip Attack1"	61.0040216926184	67.0310624085309
"11"	"Launching Roll1"	75.9414164146908	84.0421551938744
"12"	"Tactical Advantage1"	20.9700755578894	23.7596727651315
