"anames"	"lowers"	"uppers"
"1"	"Phantom Slash1"	5.66364958444907	6.27630742758313
"2"	"Soul Well1"	4.99779774145388	7.00142103390951
"3"	"Circle of Destruction1"	5.99961458131465	7.00141230865271
"4"	"Restore1"	401.113245107168	401.113245107168
"5"	"Condemn1"	15.9910440600779	18.0018854340433
"6"	"Soul Siphon1"	42.0472633758001	47.0167254149662
"7"	"Shard of Life2"	3.99937560467829	5.00068262644567
"8"	"Shard of Life1"	45.9386785104263	50.9066374655659
"9"	"Final Ruin2"	NA	NA
"10"	"Final Ruin1"	45.9989053443211	48.001845991774
"11"	"Tactical Advantage1"	21.0067997069543	23.9687472191487
"12"	"Karmic Backlash1"	69.041426622784	76.033946610378
"13"	"Transmutation1"	35.0278287179512	37.9579639006701
"14"	"Karmic Suspension1"	26.9855054041293	30.0075630308396
"15"	"Soul Bolt1"	36.0160389483292	40.0271097992121
"16"	"Vengeance1"	48.9649638229837	54.0394440971812
"17"	"Soul Storm1"	21.9986140763519	23.9972213942994
"18"	"Soul Barrage1"	13.9979042249673	16.0001427134412
